words,topic,category,replies,views
1017,Picking up their dream car: a right-hand-drive 1994 Mitsubishi Delica van,None,17,731

877,Could Someone Check This CarFax?,None,10,414

1512,Certified with higher miles vs. not certified with lower miles,None,28,1.9k

1287,Lots of classic T Birds for Sale in My Area,None,20,722

520,SUV for under $15k,None,6,292

1173,"Bought a car today, how upset should I be?",None,16,929

239,"2021 Toyota RAV4 Prime  thoughts, please!",None,5,414

1200,Backing out of a car at a dealership,None,19,1.6k

378,Thinking about buying a 1998 Honda Accord,None,8,417

554,Suspicious Carfax results,None,7,642

1044,"2012 Veloster - auction vehicle, missing history",None,15,511

869,"Love my 03 GTI, Seeking a Comparable Replacement",None,13,394

220,New Ford Bronco,None,7,299

837,Too much rust?,None,12,866

839,Why are dealers pushing financing new cars?,None,20,2.3k

251,2018 Accord vs 2018 Camry transmission,None,9,448

1180,Help selling as is!,None,16,522

1228,"Buying? a 150,000 mile SUBARU LEGACY OUTBACK LL BEAN, 3.0L H6 F DOHC 24V",None,15,1.9k

525,Moral Dilemma Selling My Camry,None,4,346

206,Car prices,None,10,530

422,Cars with decent backseat legroom,None,10,493

688,2013 Volkswagen Passat reliability,None,10,507

776,Looking for a smooth-riding GM SUV,None,17,766

999,"Help me find a new car please <img width=""20"" height=""20"" src=""https://emoji.discourse-cdn.com/twitter/slight_smile.png?v=9"" title=""slight_smile"" alt=""slight_smile"" class=""emoji"">",None,16,679

1131,2012 Chevrolet Traverse - Should I buy?,None,14,415

1010,First Car hoping for insight,None,19,786

924,2007 Mini Cooper,None,15,327

751,2019 Mazda CX-3 - Question on buying,None,17,344

567,Considering to buy a 2013 Toyota Corolla,None,7,558

885,2013 vs 2016 Ford F-150?,None,13,1.1k

1317,Next Family Car,None,12,761

1759,Looking for cars without push-button start,None,27,34.4k

433,2007 Honda Accord Sdn - Keep or trade?,None,5,413

1318,Financially better to keep or sell my 2009 CR-V,None,19,916

233,2017 GMC Terrain -Whats it worth?,None,9,503

791,Does it make a difference where I buy my car?,None,17,747

990,2004 Lexus IS300 or newer compact,None,17,553

1323,Importing a Fiat Panda 4x4?,None,23,5.4k

174,2007 Honda Odyssey - Transmission issues,None,5,264

485,Reliability of a 2017 Volkswagen Golf Alltrack,None,6,3.1k

900,Any thoughts on the 2021 Chrysler Pacifica?,None,10,963

138,Looking for opinions on the 2013 Chevrolet Volt,None,3,348

868,2010 Nissan Pathfinder - Lifespan,None,11,3.2k

318,2011 Jeep Grand Cherokee - What should I know,None,7,398

224,2009 Toyota Prius - Good buy or goodbye?,None,5,380

1652,Does it sense to buy a brand new (not used) car?,None,18,1.5k

680,A Wagon preference question for everyone,None,14,536

744,Used minivan considering for buying,None,20,601

1594,2000 Toyota Sienna w 104k mi,None,17,891

1264,Possible odometer fraud,None,16,774

1451,"Buying a manual when short, 50",None,16,919

464,In search of a quiet car for a short driver,None,9,482

616,Buying a used lotus,None,20,1.5k

1457,2016 Dodge Grand Caravan - HIGH MILES,None,18,4.0k

2258,Can I Waive The Included Maintenance on a Vehicle to Lower the Price?,None,20,1.7k

82,2003 VW Passat Wagon VS 2008 Saturn Astra XE 5-Door,None,3,228

209,Looking at buying 2001 Nissan Xterra,None,5,291

181,Mod a 2018 civic lx or buy a 2018 model si,None,2,256

770,"Is 140,000 miles high for a Volvo?",None,11,455

484,2013 BMW 535 - reliable vehicle?,None,12,1.1k

835,Whats a reliable alternative to a Toyota RAV4?,None,12,2.8k

1543,At what point financially does it make sense to get another car?,None,21,1.3k

525,2015 Mitsubishi Outlander Sport: a good deal?,None,12,428

625,1990 Toyota 4Runner - value?,None,11,1.8k

1250,Need Advice for my next new car purchase!,None,19,751

279,Best hood protector tucson,None,5,267

901,Love my Saabs what next?,None,14,574

143,2007 F250 4xF and Horse towing,None,1,269

261,I regret buying a Ford Edge!,None,5,858

633,2005 Mercedes-Benz C-Class: good deal?,None,12,535

741,Question about carfax,None,10,398

470,Sedans with No Center Console?,None,10,8.7k

648,"First car, any recommendations?",None,9,365

512,2002 Jeep Wrangler Sahara,None,4,228

300,Best site for Used cars/trucks (ideally private sale/by owner),None,5,407

1452,Choosing Lincoln vs. Lexus,None,17,942

330,Thinking about buying a 2011 Honda Accordthoughts?,None,9,557

980,Keep the Villager or Ride the Vibe?,None,11,373

2370,Just bought used Subaru Outback Limited,None,18,1.3k

374,4 or 6-cyl 2020 Chevrolet Colorado?,None,10,854

508,Need to sell my 2001 celica gts,None,6,402

533,2019 Nissan Frontier - as good as other pickups?,None,9,443

257,GMC Acadia,None,6,297

879,My 15 year old dilema,None,22,931

86,Considering purchasing a 2010 Toyota Prius,None,2,283

338,Sporty/fun PLUS good in snow?,None,7,414

675,Which car should I drive?,None,11,744

1272,How do you feel about rebuilt titles? **First car buyer**,None,17,1.1k

304,2003 Volkswagen Eurovan - good deal?,None,10,451

656,2020 Kia Soul - as good as a Honda or Toyota?,None,12,646

898,Do I need an extended warranty for a 2020 SUV?,None,14,1.3k

2331,Looking for an older car,None,17,934

177,2020 Ford Explorer - How to Negotiate Best Price,None,4,717

235,Business Deal,None,5,354

958,Good deal for a 2018 Avalon?,None,19,877

561,Up high with a 6-speed,None,9,389

2777,"BEST CHEAP Winter Car College Student $3,000",None,26,3.0k

1389,Selling Acura RDX in 2-3 months. Advice please!,None,20,461

525,Subaru Forester Winter beater,None,4,378

545,"2011 Honda Element, should I get it?",None,7,424

430,1964 Cadillac DeVille - Worth How Much?,None,4,732

710,Trying to sell my car but paint job is turning buyers away,None,16,869

352,"I bought a car I decided isnt for me and want to sell it, do I need to register it to sell it if Im with the 30day grace period?",None,5,508

1135,Trade accord for mustang?,None,17,697

1162,Should I buy a manual Accord with 250k?,None,18,1.3k

210,Is 165K miles a lot for a 07 Chevy Impala LT?,None,7,575

1225,Can dealer turn down a cashiers check,None,20,12.3k

741,2017 Honda Accord Hybrid - Good car?,None,10,560

669,Would you buy this Category S car?,None,15,1.4k

72,2012 Chevrolet Tahoe vs 2013 Tahoe,None,4,295

879,All used vehicles as is?,None,20,1.6k

123,2006 Toyota Sienna for road trips,None,4,442

314,2017 Nissan Titan - Thoughts,None,8,501

1141,How Much To Reserve For Repairs When Buying a Used Car?,None,12,732

2168,Driving Impression : 2019 Ford F-150 (warning long post),None,2,351

2131,Needs a New Engine,None,16,1.0k

532,Which 2010 Honda Fit should I buy?,None,7,349

101,Considering a 2016 Hyundai Sonata Hybrid,None,2,227

1886,Recommendation for Camry Replacement,None,27,919

221,2001 Nissan Frontier - Advice?,None,8,319

19,Camry vs Accord Hybrid,None,2,190

2318,Rising Car Prices Are Sending Even Strong-Credit Buyers to the Used Lot,None,27,2.4k

1063,How does engine replacement affect cars value?,None,13,85.4k

1079,Which cheap fast daily driver?,None,21,4.0k

305,Subaru Impreza 2007,None,6,335

497,1989 Chevrolet Corvette - Price,None,6,332

1014,Inspection needed for CPO used car?,None,12,1.2k

785,Trade 2009 Subaru Impreza Sedan for a Volvo?,None,17,1.1k

1403,High mileage 2018 Kia Sportage?,None,22,2.2k

109,2011 Mitsubishi Lancer Sportback - Problems/Airbags,None,4,414

857,Should a pre-inspection have caught a broken motor mount?,None,9,1.3k

1394,Looking For an SUVs with Column-mounted Shifter,None,22,8.4k

56,2017 Kia Optima - Should I Buy?,None,2,270

189,Looking at Subaru Forester,None,2,322

1337,Buying advice ( 2004 Chevy Tahoe LT RWD ),None,10,549

701,Which one and why?,None,16,826

761,Chevy Cobalt,None,18,647

471,2000 Honda CR-V - Manual Tranny Reviews,None,5,547

149,2004 Maybach Type 57 - How To Sell,None,4,314

414,What is a not too expensive reliable large sedan?,None,6,438

99,2020 Toyota Prius - Maintenance Requirements,None,3,296

151,Peugeot 403 - Value?,None,7,514

313,2014 Ford Focus - Reliable Used Car?,None,6,411

518,2017 Chevrolet Volt - Lots on Used Car Lots,None,12,958

1070,2012 Azera,None,13,338

563,Looking for a new (to me) 2004 Jaguar XJ8,None,9,447

328,2009 Pontiac Vibe - Looking To Replace,None,5,477

1293,Pre-Sale Improvement Questions,None,16,610

82,2004 Toyota 4Runner - Should I Sell?,None,2,214

1634,Change of State registration after buying the car from dealer,None,19,2.4k

1147,How far would you go (in miles) to buy a car that you want?,None,15,4.2k

43,2013 Toyota Corolla - Auto Shipper,None,2,192

749,Cant find anything with a smooth ride these days!,None,17,695

540,A good price for a golf?,None,9,293

763,Buying a new engine,None,12,482

3466,Whats the least I can hope to pay for a decent car?,None,32,1.7k

850,1985 Chevy cavalier odometer confusion,None,12,961

1033,Replace a Grand Marquis,None,16,885

119,Looking for a 2017 Ford Fusion Hybrid,None,8,344

934,Good price for a chevette?,None,13,1.6k

715,"Would incorrect, model on the Title make a difference",None,10,487

336,Any reason not to buy a 2017 Jaguar XE?,None,14,661

855,Buying used Honda Pilot Touring,None,18,897

627,Thinking of buying a 2019/2020 Crosstrek,None,14,939

628,2006 Saab 9-3 - Best place to sell,None,6,702

287,2019 Jetta GLI,None,6,326

804,First Time Car Buyer,None,17,748

1601,Selling 2011 Cadillac CTS,None,19,549

790,Looking into a 73 mustang coupe what are some things I should know,None,11,773

878,2017 Nissan Juke - Should I Buy?,None,13,427

97,2016 Jeep Cherokee - Buy?,None,2,195

1265,Honda vs Toyota,None,14,826

102,Hows the Honda HR-V?,None,3,387

2331,Was my 2000 Toyota Camry worth $3k?,None,24,2.4k

425,Lexus IS 350,None,7,304

342,Used 2009 Audi A4,None,8,363

94,Considering a 2009 Subaru Impreza Sedan WRX,None,2,277

257,1998 Lexus ES 300 - good deal?,None,3,262

1518,Used RAV4 extended Certified warranty,None,15,1.5k

2117,What Sedan to Buy?,None,31,1.4k

204,Big guy is lost without a Lucerne,None,5,324

532,Repair or sell as is?,None,7,429

822,Reliable Minivanor what to avoid,None,9,674

226,Good price for a 2010 Honda CR-V?,None,5,396

344,Might buy a 2016 BMW 328i,None,7,425

1150,Fair price for a car?,None,13,599

991,Wanting a brand-new Jeep Renegade,None,13,502

2218,Extremely dissatisfied with new 2014 Honda Civic,None,33,1.8k

870,Looking for a 1985 Mercedes 123 300 Turbo Wagon,None,13,376

702,Buying advice wanted: 2011 Mitsubishi Outlander Sport,None,10,442

488,Whats my 1992 Chevrolet Caprice worth?,None,11,487

50,Pre-purchase inspections in Maine,None,2,209

102,2017 Buick Enclave a Smart Buy?,None,3,255

346,2014 Acura MDX issues?,None,9,425

528,Buying a Car with a Replaced Engine,None,14,4.3k

403,CR-V vs. Forester,None,9,462

121,Might buy a 2008 BMW X6,None,3,267

764,Best mid 90s 4x4,None,19,883

687,2019 Honda HR-V or Subaru Crosstrek for an 84-year-old,None,12,612

389,Deciding whether to keep 2012 Ford Flex,None,4,284

730,Tall Driver &amp; Need Help With Next Car,None,7,296

2362,Buying a 2003 Toyota Matrix for teenagers,None,28,849

100,Considering a 2019 Toyota Avalon Hybrid,None,3,252

1166,Confused between used and new!,None,13,913

2221,Looking for a Chrome Bumper MG,None,28,884

143,Considering a 2005 Hyundai Tucson,None,4,343

1171,I need advice please!,None,12,434

1180,"Are my standards realistic in buying a used car under $10,000 (CHANGE est miles driven to 8,000)",None,20,1.1k

958,Opinions? 2019 BMW X1,None,11,3.2k

176,Replacing 2004 Lexus RX 330,None,3,207

235,Thinking about buying a Dodge Dakota,None,9,328

1430,Should I be wary of an aluminum engine block?,None,20,5.7k

1392,"Used Forester, Outback, CRV or RAV4!?",None,16,554

202,In search of Subaru safety and Toyota hybrid quality,None,3,247

715,Car Buying tips and Car Buying service tips,None,10,1.3k

2095,Ford Mustang Pros and Cons,None,31,4.8k

138,2014 Nissan Murano CrossCabriolet issues?,None,5,233

137,Buying a 2008 Mitsubishi Outlander,None,3,178

358,Sell or Repair 2003 Pontiac Vibe or buy newer,None,5,306

557,Cheap small cars with push button start?,None,9,532

36,Is it worth buying a 2018 Buick Encore?,None,2,336

159,2011 Toyota Highlander carfax,None,2,245

1003,Why wont my sons BMW sell?,None,22,2.0k

128,Should I buy 2016 Ford C-Max Energi off lease?,None,3,293

52,Pros and cons: Rav4 hybrid vs conventional,None,3,501

497,2009 Hyundai Santa Fe - is low mileage a red flag?,None,6,395

1197,In the market for used Jetta - what year to look for?,None,14,588

413,About buying a used car,None,8,509

164,Wheres the best place to sell my 1989 Nissan 240SX?,None,4,553

70,Might buy a 2006 Mazda MPV,None,2,200

2660,Should I buy or lease my last car?,None,32,1.8k

204,Good deal for a 2013 Acura MDX?,None,5,351

869,Buying New Vehicle in January 2019,None,12,704

1220,Thinking about buying a 2008 Smart ForTwo,None,15,3.3k

89,4Runner - Seeking Avalon,None,2,209

405,What should I ask when buying a used Honda Civic?,None,10,663

1732,A troubling report in the WSJ,None,22,830

1328,"Used car under 60k, from 2015+ and under 50k miles",None,13,893

970,First Car Buyer and Need Advice,None,14,374

280,2014 Mercedes-Benz GL-Class - worth buying?,None,9,553

2604,How should I go about fixing my 2010 Honda Accord? (More details below),None,31,1.1k

128,Looking for MK1 OR MK2 VW Rabbit,None,7,334

236,Why cant I get my custom car order the way I want it?,None,3,239

171,2015 Toyota Tundra 4WD Truck opinions,None,4,320

1129,First car buyer,None,16,601

1733,To Find a Subaru Crosstrek,None,24,822

162,Is a 2008 BMW X3 reliable for a college student?,None,4,403

1017,"Senior looking for a reliable, fun car",None,12,668

343,Forester XT vs V50 T5 AWD,None,9,542

246,Pontiac parts,None,5,355

682,Opinions? Highest Seat for Bad Knees,None,15,11.8k

84,Looking for spoke rims for Mustang II,None,2,212

80,2013 Scion xB - opinions?,None,2,205

313,2008 Honda Accord EX 160K miles,None,4,1.2k

317,Is there a Camry model year I should avoid buying?,None,7,3.3k

1635,Any thoughts on Consumer Checkbook Carbargains service,None,17,8.5k

489, Older Toyota Tacoma VS Ford Ranger,None,5,1.4k

894,Honda accord 1999 selling price,None,12,413

1671,Good deal for a 1985 Isuzu Pickup?,None,27,3.9k

111,2013 Ford Ranger - any problems to expect?,None,3,416

172,When tryng to get a rebuild title do I have to repair the SIDE airbags of the car?,None,3,328

30,2007 Chevrolet Express 3500,None,2,200

220,2012 Honda Odyssey - Yes or no?,None,9,365

1066,Buying a 2003 Honda Civic GX (Natural-Gas Model)?,None,15,2.2k

185,Looking to buy a used Audi,None,2,248

605,Buy a Used 2007 Honda Civic Hybrid?,None,10,1.6k

1366,Big enough to hold 20 djembes?,None,26,2.0k

1172,Buy used or new Honda Odyssey?,None,15,5.1k

400,What makes/models are comparable to Honda Fit?,None,7,389

810,Advice needed on hatchbacks that perform decently in winter weather,None,11,2.5k

765,Should I buy a 2005 Toyota Corolla today ? HELP!,None,13,1.8k

2377,Paying cash for a car - or maybe I shouldnt,None,30,2.1k

1366,Is this too much rust to consider to buy? 1966 Ford Fairlaine,None,15,1.6k

1512,Can I get a new Civic without power windows or door locks?,None,21,4.2k

1101,2018 Jeep Wrangler Unlimited safety,None,19,683

151,2016 BMW 528 - Value,None,3,298

57,A Used 2008 Corvette Convertible,None,3,335

771,What used car should I get?,None,14,555

1064,Trade and Buy **Faulty 2014 Focus** Help!,None,19,5.5k

2166,Theory on used vehicle purchase,None,15,900

283,Considering a 2006 Scion xB,None,6,734

317,2015 Honda Civic - bad idea?,None,9,633

968,Looking for a new truck and travel trailer,None,11,521

1157,Picking a Jeep Wrangler,None,16,2.2k

773,Keep vehicle w/lower mileage or more dependable higher mileage vehicle?,None,17,568

404,Buying 1997 Honda Accord Wagon with repaired head gasket,None,4,314

585,2018 Honda CR-V better than a Subaru?,None,11,699

541,How long will my 2008 Honda Odyssey survive?,None,7,1.9k

342,2004 Mitsubishi Lancer,None,4,371

649,2001 Toyota Camry - keep or sell?,None,10,558

289,1999 RAV4 - On the fence,None,6,383

271,51 and looking for a comfy used car,None,3,328

617,Thinking about a 2017 Nissan Datsun 1600 Fairlady,None,11,590

258,Should I skip the Honda CR-V because of turbo problems?,None,9,2.3k

48,Looking for a Mercedes-Benz Sprinter to convert to camper,None,2,285

676,Where should I advertise to sell my 1990 Buick Reatta?,None,14,898

1021,Do car dealerships replace front tires before selling car they bought from you,None,18,6.2k

262,Question on pricing Ford e250 quiqley conversion vans,None,3,312

1204,"Single with a used car: keep, lease, or buy?",None,13,576

429,Will rebate really expire?,None,12,885

167,Might buy a 1999 Honda CR-V,None,3,383

1134,Is it worth buying a 20 year old car?,None,15,41.3k

1088,Whats your definition of depreciation?,None,10,542

72,Looking to buy a 2005 Honda CR-V,None,2,325

342,2005 Volkswagen Golf - Yes or no?,None,5,365

1374,Lease buy-out after major accident,None,14,4.7k

1418,Moving on from beloved 1993 Mercury Capri,None,15,576

333,2014 BMW X1 with 2490 miles only for sale,None,6,418

1651,What do you think about the Saturn S-Series or older gen American vehicles?,None,11,1.1k

119,SUV for a senior concerned about stop-start,None,3,317

868,Keep Or Sell?,None,14,533

43,2018 Honda Accord: is the turbo touring model worth it?,None,2,360

655,Honda HRV vs Nissan Rogue vs Toyota Prius,None,12,1.2k

95,2016 Chevrolet Equinox concerns?,None,3,452

92,What to expect from a 2008 Toyota FJ Cruiser,None,3,474

351,Tire Pressure,None,7,942

138,2018 vehicles with standard transmissions?,None,4,440

337,Buying a 2014 BMW,None,7,371

46,2018 Chevrolet Equinox,None,2,323

64,2004 Lexus GS 430 worth buying?,None,2,321

459,Want cheap reliable used car &lt; $10K &lt;3000 Miles per year,None,10,497

325,Dodge Challenger performance options,None,5,369

100,2017 Mazda MazdaSpeed Miata MX-5,None,2,339

1427,Minivan vs. SUV,None,16,729

185,Considering future car purchase,None,2,364

1651,Buying or Lasing a New Car. Advice Wanted!,None,20,2.1k

1302,Upside down advice,None,13,833

974,Lease Buyout Wrong VIN,None,13,958

287,About to buy a 2009 BMW X3,None,6,347

1155,What to buy after owning a Saab,None,20,2.8k

81,Private sale price for 2008 Honda Fit,None,2,382

39,1987 Rose Quartz Saab 900 value,None,3,427

163,Considering a 2015 Hyundai Genesis,None,4,389

389,Pre-ride maintenance for a used 2005 Chrysler Sebring,None,7,389

872,Classic Ferrari Sells for $70 Million,None,15,1.6k

127,Might buy a 2007 Nissan Titan,None,3,346

62,Fair price for a 2019 Acura TLX,None,2,266

697,Walk away from a 2001 Pontiac Firebird with a history?,None,16,672

34,Im thinking of buying a 2009 Cadillac DTS,None,3,323

2144,Is a warranty worth it?,None,27,1.3k

340,Looking for a replacement for a 2007 Kia Rondo,None,6,352

1116,Replace Rack &amp; Pinion or Buy new Car?,None,12,10.8k

381,Who knows Saabs and their worth?,None,9,551

774,Corolla vs Camry lumbar support,None,10,4.4k

152,Vroom as source of buying late model used cars,None,5,395

1359,Car Advice - 41-year-old city dweller whos never owned a car!,None,19,6.0k

467,CarMax as a place to buy from,None,16,854

1239,AWD a smart buy in sunny California?,None,17,9.1k

73,2009 Ford Edge - buy or not?,None,2,261

662,ISO Lexus IS 300 SportCross wagon,None,11,4.0k

436,2008 Porsche Cayenne - worth buying?,None,9,372

88,2009 Ford Edge worth it for $6k?,None,2,297

1460,Will a 2011 Honda CR-Z appreciate in value?,None,15,2.7k

2348,Deciding betweem twp,None,24,1.1k

1449,Used 2015 Subaru Forester,None,19,701

77,2017 Kia Sportage opinions?,None,3,313

476,2016 F-150 or 2018 F-150,None,7,378

1124,2017 Lexus RX 350,None,16,1.6k

197,2009 Subaru Impreza,None,5,364

141,98-02 HONDA ACCORD - Manual Transmission,None,5,373

258,To buy or not to buy: 2006 Volvo S40,None,9,541

50,Buying a 2006 BMW 528,None,3,292

29,Considering a 2006 Infiniti M45,None,1,233

929,2011 Cadillac CTS Coupe worth buying?,None,14,1.7k

79,Used 2012 Volvo XC60,None,2,293

226,Opinions on 2017 Ford Fiesta?,None,5,497

1690,Rebuilt car,None,18,657

50,Should I buy a 2011 Mazda CX-7?,None,2,275

660,1987 Toyota Celica,None,9,631

126,2008 Kia Rondo,None,4,316

1974,Thoughts on 2018 Kia Soul?,None,24,1.4k

2881,Some Buy New Vehicles To Save $. Some Buy Pre-Owned Vehicles To Save $. How?,None,28,1.1k

669,How far is reasonable to go for mechanics inspection?,None,10,461

206,Whats my 2003 Toyota Camry worth?,None,5,558

1040,2018 GMC Acadia V6 vs. V8,None,18,5.4k

1354,Thoughts on buying a Used Camaro,None,24,13.8k

316,2007 Jaguar X-Type opinions,None,6,421

1396,Ready to move back to an SUV from minivan,None,16,1.6k

34,2016 Hyundai Sonata owners?,None,2,305

39,2005 Ford Freestyle &amp; CVT,None,1,287

519,97 Camry vs 05 Toyota Corolla,None,10,1.1k

493,Used car dealer Reputation validation,None,9,520

165,Considering a 2015 Jeep Grand Cherokee,None,3,383

521,2011 Subaru Impreza worth buying?,None,8,908

274,1998 Jeep Cherokee needs oxygen sensors,None,4,303

1716,No longer able to get new car invoice?,None,20,2.3k

1375,Buying New Car,None,13,1.3k

260,2007 Dodge Grand Caravan worth buying?,None,4,381

887,Whats the best price for a New Honda Accord 2017,None,18,969

143,Should I retire my 2005 Dodge Ram for a 2017 Dodge Ram 3500?,None,5,468

238,Opinions on 2007 Buick Lucerne?,None,5,668

1031,Will the 2011 Mercedes-Benz GLK-Class be a classic someday?,None,14,1.1k

1006,Use a bicycle to look around car dealers and lots,None,17,863

121,2016 Hyundai Accent model advice/question,None,3,384

149,2007 Daihatsu Charade - buying advice for small SUV or similar,None,4,327

126,Similar to Chevrolet Tracker?,None,3,1.1k

896,To buy another 1972 Oldsmobile Ninety-Eight?,None,20,1.2k

262,2014 Nissan Versa tranny issues?,None,3,383

637,2017 Santa Fe Sport vs 2017 Tucson opinions?,None,12,675

282,Thinking about a 2015 Acura MDX,None,6,442

563,I want to buy a golf 4 1.8 turbo 2003 model,None,13,838

849,2017 Toyota Tacoma question about negotiating fees,None,9,728

574,Should I buy a 2007 Honda Accord?,None,9,2.3k

104,2003 Toyota Matrix - keep or sell?,None,2,248

1221,Is buying a 1998 Jeep Grand Cherokee worth it?,None,19,3.3k

765,Considering an SUV,None,11,516

167,Opinions about 2005 Lexus RX 400h,None,5,364

1203,What Is the Quietest Car Sold?,None,22,12.3k

