topic,category,views,words,replies
2008 Toyota Corolla - Peeling paint,Maintenance/Repairs,349,291,7
Apple is really serious,General Discussion,551,400,10
Cherry bomb extreme,General Discussion,1.8k,1082,20
1 second gain,General Discussion,2.4k,605,20
Nissan sentra 2016,General Discussion,587,530,15
2017 Mitsubishi Montero Sport - Android Auto issue,Maintenance/Repairs,268,132,4
1998 Mercedes-Benz M-Class - Cranks but won’t catch,Maintenance/Repairs,255,299,10
2016 Toyota Camry - Tire upsell?,Maintenance/Repairs,1.5k,1497,20
Question about Toyota Yaris,Maintenance/Repairs,465,586,17
"2020 Lincoln Aviator - Water leak, noisy tailgate, aligment troubles",Maintenance/Repairs,363,421,9
2018 Ford Escape - Shocks and struts replaceable,Maintenance/Repairs,288,157,5
"Idle speed, max RPM issue",Maintenance/Repairs,193,254,4
2012 Dodge Durango - Blower motor issue,Maintenance/Repairs,204,57,2
2008 Chevrolet Avalanche - Lifter question,Maintenance/Repairs,240,118,3
2016 Honda Civic AC driver side hot,Maintenance/Repairs,447,948,8
Subaru Brake Job,Maintenance/Repairs,586,924,20
Ford’s new Maverick,General Discussion,717,852,20
No Brake lights Toyota Hilux 2017,Maintenance/Repairs,206,198,3
Code: P0138 O2s,General Discussion,179,225,2
Future Graduations,General Discussion,1.8k,2774,20
GM steps-up its investment in EVs,General Discussion,221,157,2
Carbon buildup on valves,Maintenance/Repairs,760,782,20
‘Snapchat Ends “Speed Filter” That Critics Say Encouraged Reckless Driving’,Safety,173,128,2
Who needs jack stands?,Maintenance/Repairs,1.1k,615,20
Issue with new 2019 Camry,Maintenance/Repairs,508,861,14
2006 Hyundai Tucson - Won’t start,Maintenance/Repairs,290,242,9
Fuel filer replacement,Maintenance/Repairs,1.0k,509,15
How badly did I screw up?,Driving/Drivers,595,1883,18
Auto Parts Markup?,Maintenance/Repairs,71.8k,1605,19
Put ash trays back in cars and trucks!,General Discussion,2.2k,1141,19
1998 Dodge Ram 1500 - Oil consumption mystery,Maintenance/Repairs,586,357,8
Turbocharger reliability,General Discussion,818,921,17
2003 Jaguar S-Type - Looking for Mr. or Ms. Right,General Discussion,267,150,5
Bye-Bye for Lordstown Motors?,General Discussion,484,524,11
A/c holds vaccuum while charging!,Maintenance/Repairs,231,257,5
2014 Buick Verano - Oil leak caused a belt failure,Maintenance/Repairs,169,48,2
Control arm both sides front. Has been neglected and making noises,Maintenance/Repairs,232,132,5
Buick Lucerne CV axel seal,Maintenance/Repairs,235,160,6
Have you seen the Jeep wave?,General Discussion,674,455,16
What in the world is causing this noise? ‘03 Ford Focus,Maintenance/Repairs,630,776,16
2017 Ford Everest (Ranger) - Loses power,Maintenance/Repairs,254,90,4
Dashboard Light bulb,Maintenance/Repairs,257,206,5
2011 Cadillac DTS - Problem after cooling system work,Maintenance/Repairs,211,257,3
2008 Hyundai Accent - Dome light question,Maintenance/Repairs,255,195,8
Radio stays on after removing key from ignition,Maintenance/Repairs,37.7k,723,8
1998 Dodge Ram 1500 transponder key / fob,Maintenance/Repairs,299,165,7
2010 VW Jetta - starting issue,Maintenance/Repairs,363,612,13
Convertible weather stripping (?) replacement?,Maintenance/Repairs,256,401,9
2020 Toyota Corolla - Loose bumper,Maintenance/Repairs,515,446,10
Turning Key Won’t Start Car My Ford Focus,Maintenance/Repairs,416,919,13
Leaf Body Work,Maintenance/Repairs,368,578,12
"Driving by an oil refinery, what is the pleasant steak-like smell?",General Discussion,861,1060,20
2005 Subaru Outback - AC stays on!,Maintenance/Repairs,281,76,2
1999 Buick LeSabre problem,Maintenance/Repairs,725,672,18
2004 Jetta AC,Maintenance/Repairs,1.2k,336,10
2016 Honda Odyssey - Beeps,Maintenance/Repairs,252,145,7
2017 Kia Sportage - Tire pressure question,Maintenance/Repairs,327,117,6
"Just made a ducktail spoiler. How does it look? <img width=""20"" height=""20"" src=""https://emoji.discourse-cdn.com/twitter/slight_smile.png?v=9"" title=""slight_smile"" alt=""slight_smile"" class=""emoji"">",General Discussion,621,327,11
Is this rust an issue on a used car? Need to know if I should buy,General Discussion,606,806,19
Oxygen Sensor Graphs - Please help,Maintenance/Repairs,308,184,6
"Mechanic stories, not too bad",General Discussion,459,742,11
2001 Dodge Neon quickly overheats,Maintenance/Repairs,405,545,8
2016 Honda HR-V - AWD light,Maintenance/Repairs,231,124,3
Small gash near bottom of the car. Any idea what could have done this?,General Discussion,260,334,4
Ignition switch failure?,Maintenance/Repairs,330,463,7
2022 Nissan Maxima Transmission issue,Maintenance/Repairs,266,77,5
1994 Buick Century - Won’t start,Maintenance/Repairs,198,141,4
A new version of the Bugatti Chiron,General Discussion,282,483,13
2001 Audi A3 - Clicks,Maintenance/Repairs,186,87,3
Honda Element any good?,Buying/Selling,1.1k,1013,20
2008 Chevrolet Silverado 2500HD - How old are my tires?,Maintenance/Repairs,190,21,2
2019 Honda Insight - TPMS light after new tires,Maintenance/Repairs,218,317,4
Good Purchase - Finally ( Tire Pump ),General Discussion,631,1222,16
Wretched Excess IMO,General Discussion,1.8k,2662,20
72 VW with problems starting hot,Maintenance/Repairs,22.3k,1237,16
Thoughts on 2021 Mercedes CLA35 AMG,General Discussion,458,859,19
Starter replaced and it sounds bad (2009 Accord),General Discussion,719,1818,20
2006 Impala Power Steering Out,Maintenance/Repairs,476,723,17
What happened to the Esso Tiger?,General Discussion,1.3k,1038,18
2014 Dodge Journey - Clunks,Maintenance/Repairs,167,46,2
Advice for 2015 Lancer SE,General Discussion,565,223,8
AC low pressure port doesnt fit freon hose,Maintenance/Repairs,16.8k,460,15
AWD 99 Honda CRV will not move?,Maintenance/Repairs,257,437,5
2012 Subaru Impreza Wagon = CVT question,Maintenance/Repairs,329,257,3
LED headlights Hyuandai Tucson 21,Maintenance/Repairs,647,714,16
Paint Speckles Covering Car,General Discussion,561,881,16
2017 Chevrolet Equinox - Airbag issue,Maintenance/Repairs,357,365,8
2006 Ford Freestyle AWD - wrench indicator light on/off - possible throttle body or trans or sensors problem?,Maintenance/Repairs,413,848,12
Prius catalytic converter,General Discussion,285,91,5
Accidentally added power steering fluid to brake reservoir but removed as much as I could,Maintenance/Repairs,30.0k,868,18
2010 Ford Fusion “Service Power Steering Now”,Maintenance/Repairs,115k,1024,18
Nissan Versa - battery keeps going dead with good alternator and starter,Maintenance/Repairs,12.9k,1310,19
Southern Gas Shortage,General Discussion,5.4k,380,15
2013 Hyundai Santa Fe Sport - AC issues,Maintenance/Repairs,408,609,10
Advice for lancer SE auto transmission,General Discussion,391,760,11
Mazda 6 - Emissions problem - ODB readings,Maintenance/Repairs,193,379,4
2005 Buick Rainier - Speakers buzzing,Maintenance/Repairs,169,44,2
2009 Hyundai Sonata - TPMS,Maintenance/Repairs,186,336,3
2014 Nissan Rogue - No CEL but the engine shuts off,Maintenance/Repairs,306,257,5
2019 Toyota Camry Hybrid - Alignment,Maintenance/Repairs,350,193,5
2011 Toyota Corolla engine concern,Maintenance/Repairs,324,597,7
2016 Mercedes E250 (Bluetec diesel) with run-flat tire shows “Auxiliary Battery Malfunction” after tire change,Maintenance/Repairs,381,665,17
2015 Honda Accord Sdn - Best battery,Maintenance/Repairs,361,590,16
2012 Lincoln MKZ Hybrid - Dropping mileage,Maintenance/Repairs,264,191,7
2002 Buick Park Avenue - Engine stalls,Maintenance/Repairs,214,95,4
Starting issues with car,Maintenance/Repairs,452,554,13
Opening the fuse box,Maintenance/Repairs,193,146,3
Stop Miss Leading People,Site Feedback,1.6k,831,18
2003 Chrysler Town &amp; Country - Gauge cluster needs resetting - Why?,Maintenance/Repairs,188,64,3
1982 Dodge Ram Van - Speedo wobbles,Maintenance/Repairs,255,302,5
2005 Toyota 4Runner - Downhill shaking,Maintenance/Repairs,261,346,6
Used All-Terrain Tires,Maintenance/Repairs,1.9k,712,18
2015 Nissan Altima - Wet floors,Maintenance/Repairs,219,79,3
"Want your own Lamborghini Sián for $36,500",General Discussion,217,48,3
Junkyard,General Discussion,4.6k,1026,18
Dodge Ram 1500 Wrong FOB,Maintenance/Repairs,395,766,17
Help installing dorman intake on 4.6 mustang gt 1998,Maintenance/Repairs,385,737,8
1999 Toyota Corolla - engine oil burning,Maintenance/Repairs,713,637,18
Constant misfire on number 5 cylinder,Maintenance/Repairs,374,660,11
1999 Ford Explorer - Interference or not?,Maintenance/Repairs,199,58,3
The Club Cab concept,General Discussion,292,159,8
How to fix “Wrong Key Fob” error? 2013 Ram 1500,Maintenance/Repairs,6.1k,1328,10
2018 Chevrolet Trax - Engine problems,Maintenance/Repairs,879,588,14
2015 Hyundai Sonata acceleration while braking,Maintenance/Repairs,519,456,10
Lexus LS460 air conditioning acting weird,Maintenance/Repairs,4.8k,1375,15
Four Year Old Battery Died Suddenly - Load Test or Replace?,General Discussion,655,1417,19
1997 Mercedes-Benz M-Class - Long trip issue,Maintenance/Repairs,190,90,4
2015 Ford F-150 - Bluetooth quit,Maintenance/Repairs,174,45,2
Airbag disconnect Honda Del Sol 1993,Maintenance/Repairs,587,591,16
STOP Fuse Blows,Maintenance/Repairs,1.3k,541,9
Which vehicles are the most likely to need a trans overhaul?,General Discussion,309,388,7
Clutch Cylinder Question,Maintenance/Repairs,385,507,8
2006 Toyota Corolla No Start,Maintenance/Repairs,155,257,2
Overflow bottle,General Discussion,286,475,10
Driving while shooting!,Safety,1.9k,2110,20
Blower fan runs slow/stops,Maintenance/Repairs,317,259,10
"Deleted, mistake",General Discussion,310,38,4
You can go first,General Discussion,318,209,7
2005 Toyota Camry - symptoms of gummed up carburetor,Maintenance/Repairs,300,83,4
When to buy new tires?,Maintenance/Repairs,515,544,12
2000 Ford focus wont start,Maintenance/Repairs,1.5k,538,16
"Honda Odyssey issues - dead battery, then loud buzzing and smoking from engine",Maintenance/Repairs,12.5k,953,10
2015 Ford Focus loses power on incline,Maintenance/Repairs,362,556,7
2012 Nissan Juke - any trouble with carbon monoxide?,Maintenance/Repairs,319,195,5
2013 Chevy Silverado won’t turn on,Maintenance/Repairs,153,202,2
2005 Lexus ES 330 - Thumps,Maintenance/Repairs,135,37,2
2000 Dodge Ram 2500 - Tire pressure question,Maintenance/Repairs,161,184,4
"Why does my raditor resovoir tank drain, yet the raditor is full",Maintenance/Repairs,4.2k,996,8
The next time that somebody complains about seat comfort,General Discussion,296,42,5
Won’t be buying another Ford,Maintenance/Repairs,853,995,16
National Secure Your Load Day,Safety,220,165,4
Safe to drive on this tire? (With pic),Maintenance/Repairs,569,187,7
2015 Audi Q7 - AC dripping inside the car,Maintenance/Repairs,189,25,2
It’s a lot cheaper than replacing your fuel pump,General Discussion,1.3k,995,20
Hit a pole. Now there is a bit of rust,Maintenance/Repairs,374,212,7
Cadillac CTS wont start-must override security system-HELP!,Maintenance/Repairs,9.3k,497,5
2019 Chevrolet Trax brake malfunction,Maintenance/Repairs,614,898,19
Bench bleeding brake master cylinder w/separate reservoir,Maintenance/Repairs,187,403,3
Oxygen sensor codes,Maintenance/Repairs,207,205,4
2006 Kia Amanti - Missed when going slow,Maintenance/Repairs,167,32,2
2001 Mazda Tribute - repair estimate for torque converter,Maintenance/Repairs,340,396,8
1995 Honda Civic battery drain and engine flooding,Maintenance/Repairs,287,239,4
Restoring dead battery? (2001 vivic),Maintenance/Repairs,702,879,20
"Help! Need schematics, friend rearranged my engine!",Maintenance/Repairs,402,358,6
1995 Nissan Altima intermittently stalls,Maintenance/Repairs,181,62,3
2014 Toyota RAV4 front hood vibrates,Maintenance/Repairs,234,81,3
Getting into cars,General Discussion,1.1k,1008,10
Vents only blow on floor/defrost,Maintenance/Repairs,171,61,2
Car Problem - 2010 Nissan Sentra code; P0456,Maintenance/Repairs,433,1404,14
A/C wiring or where does this wire go?,General Discussion,503,844,19
Ticket quotas,General Discussion,328,448,6
2007 Nissan Titan - Peeling paint,Maintenance/Repairs,316,96,5
"Alternator, Starter and Battery are good, truck wont crank",Maintenance/Repairs,224,477,4
Who says that A/C repair isn’t DIY?,General Discussion,329,335,8
2012 Hyundai Accent - Stalls and lurches,Maintenance/Repairs,215,61,3
Battery Keeps dying/ Ta9ilight stays on after pulling fuse,Maintenance/Repairs,369,410,11
VW Passat B4 EV Conversion Project,General Discussion,200,214,3
2005 GMC Canyon - Window and door troubles,Maintenance/Repairs,183,107,3
"Road rage karma, your story?",General Discussion,1.4k,2061,18
2015 Ford Fusion 2.0L Turb Issue,Maintenance/Repairs,237,218,4
New bushings sounds like front end is going to fall apart,General Discussion,588,406,13
2016 Honda Civic Cpe - Need to sneak up on my sunroof,Maintenance/Repairs,217,52,2
2011 Cadillac CTS - Looking for qiet tires,Maintenance/Repairs,365,415,9
2020 Volkswagen Atlas - Creaky noises,Maintenance/Repairs,265,179,5
2013 Subaru Outback - Infotainment issue,Maintenance/Repairs,430,336,6
2005-2009 Honda Odyssey Front Blower is not working,Maintenance/Repairs,4.8k,472,5
2014 Mercedes-Benz CL-Class - Opinion?,General Discussion,400,297,8
2008 RAM 1500 - 4x4 issue,Maintenance/Repairs,191,166,2
Things to make standard,Maintenance/Repairs,10.0k,721,20
2015 Toyota Sienna - Stalls and shows these warning lights,Maintenance/Repairs,238,181,4
2016 Corolla AC Problem,Maintenance/Repairs,362,475,10
2016 Chevrolet Silverado 1500 - Bang shift,Maintenance/Repairs,512,589,13
2000 Mazda MPV - Tune up?,Maintenance/Repairs,358,670,8
Honda Pilot,General Discussion,692,841,15
2019 Kia Sportage - Cupping tires,Maintenance/Repairs,336,227,6
Liftgate Support Broke Away from Hatchback Door Frame,Maintenance/Repairs,784,550,16
Chewing Tar,General Discussion,22.7k,789,11
1996 ford explore air conditioner,Maintenance/Repairs,195,77,3
Fix to the CAT to get SMOG passed?,Maintenance/Repairs,2.5k,1751,20
My damn truck just threw up coolant all over my garage,Maintenance/Repairs,1.2k,799,20
To all that served,General Discussion,302,342,8
These people share the road with you,General Discussion,1.5k,1204,20
2008 Nissan Altima - Loses power,Maintenance/Repairs,215,46,3
2019 Volvo XC60 - Wheel vibrates,Maintenance/Repairs,8.4k,860,20
2002 Infiniti G20 warning lights,Maintenance/Repairs,470,267,10
Cooling System Strange Behavior,Maintenance/Repairs,358,567,7
2002 Toyota Tundra 4WD Truck - Won’t start,Maintenance/Repairs,221,46,3
2015 BMW 645 - maintenance after a long sit,Maintenance/Repairs,333,136,5
Camry fender bender,Maintenance/Repairs,615,819,15
"New engine, LESS mpg? Huh?",Power/Fuel,994,866,20
Ignore the CEL?,General Discussion,627,659,15
Creaking from brake and accelerator from MG HECTOR,Maintenance/Repairs,574,1114,20
2001 Ford Ranger - I changed the filter now it won’t work,Maintenance/Repairs,706,468,13
Lack of Vapor from Gas cap + P1457 + P0171: Likely suspects?,Maintenance/Repairs,442,591,10
2010 Nissan Altima leaks trans fluid,Maintenance/Repairs,334,200,5
1993 4Runner vs 2011 Mazda3 Hatch,Buying/Selling,1.7k,1231,20
Jack to Infiniti,Maintenance/Repairs,389,293,6
The cars that made the World,General Discussion,1.6k,1168,20
Static or More Serious,Maintenance/Repairs,490,1027,15
Artificial intelligence: not there yet,General Discussion,2.9k,1383,20
2018 Nissan Altima - Brake sensor question,Maintenance/Repairs,198,102,3
Lamar Van Dusen,General Discussion,309,41,4
2016 Chrysler 300C clunks and thuds,Maintenance/Repairs,209,39,2
2012 RAM 1500 - Engine code,Maintenance/Repairs,197,141,6
2000 Subaru Outback clutch is soft for the first inch,Maintenance/Repairs,788,1313,20
"Support Question: CarTalk Discourse Theme, Make &amp; Model combo box",Site Feedback,234,215,7
Curious about displacement,General Discussion,1.1k,1387,20
2012 Ford Escape - How long will it last,General Discussion,861,815,20
Outsside rear view mirror,General Discussion,505,285,15
